Quarter,PE_Ratio,PB_Ratio,PS_Ratio,EV_EBITDA,EV_EBIT,EPS,BVPS,Market_Cap
Q1/2010,11.7011,4.0289,0.3298,7.2936,7.2936,2016.8357,0.0,0.0
Q2/2010,10.3611,3.6268,0.3171,6.5051,6.5051,2005.8884,0.0,0.0
Q3/2010,9.6076,3.1729,0.2601,5.8557,5.8557,1452.5352,12698.2349,10802.5008
Q4/2010,9.602,3.061,0.2927,5.7477,5.7477,1570.3284,14958.4279,9844.5251
Q1/2011,7.916,2.347,0.2295,4.6646,4.6646,1533.1071,15893.4179,9721.2022
Q2/2011,7.4037,2.3206,0.3065,4.7211,4.7211,2147.2819,15716.848,10665.7933
Q3/2011,6.6592,2.0217,0.3412,4.3756,4.3756,2375.5987,16692.773,10321.1063
Q4/2011,7.2437,2.3281,0.5066,4.6773,4.6773,2141.5222,21122.4625,12529.8173
Q1/2012,7.2239,2.2105,0.3735,4.7835,4.7835,1576.3855,18367.24,12907.5469
Q2/2012,5.3481,1.6488,0.2373,3.8762,3.8762,1505.7241,18676.504,10157.0227
Q3/2012,6.6678,1.6864,0.2453,3.8734,3.8734,1235.7273,18662.057,13535.8734
Q4/2012,6.7025,1.6834,0.423,3.6134,3.6134,1639.4228,19313.2097,10348.4346
Q1/2013,7.5467,1.8078,0.3107,4.1266,4.1266,1308.4691,20073.681,11830.1333
Q2/2013,7.8518,1.7717,0.3272,4.6122,4.6122,1616.2166,21388.2737,12352.8601
Q3/2013,8.6676,1.9924,0.3442,4.9438,4.9438,1201.2637,16747.2317,16713.2593
Q4/2013,12.0403,2.6906,0.7176,6.7507,6.7507,1722.4089,22406.5045,19258.3565
Q1/2014,10.6461,2.2657,0.3946,6.1373,6.1373,1313.6449,18644.911,16988.3747
Q2/2014,11.2212,2.3567,0.3988,6.3184,6.3184,1243.0658,18303.4123,17882.4996
Q3/2014,10.0954,2.1863,0.3601,6.0898,6.0898,1131.1757,15850.5258,18362.156
Q4/2014,10.4516,2.156,0.5225,6.1733,6.1733,1309.7661,19091.6728,16644.4804
Q1/2015,11.0773,1.9413,0.3468,7.3135,7.3135,1234.5631,17406.5691,18640.3705
Q2/2015,11.853,2.4126,0.3704,7.5788,7.5788,1148.6713,21346.3035,18560.8806
Q3/2015,10.8065,2.2104,0.3632,6.6928,6.6928,978.6994,18362.4276,20624.5594
Q4/2015,10.0057,2.2515,0.5114,6.4041,6.4041,1666.1764,21602.8628,18719.8603
Q1/2016,10.1285,1.8242,0.4686,6.1485,6.1485,869.5913,19451.3698,19751.8052
Q2/2016,10.439,2.2085,0.5355,6.8288,6.8288,1123.1457,19745.6864,20142.2479
Q3/2016,10.2904,2.267,0.5457,6.3796,6.3796,1018.2502,17063.471,31958.8995
Q4/2016,10.7203,2.2404,0.5424,6.371,6.371,1439.0504,20736.2061,21726.9858
Q1/2017,12.4934,2.2415,0.6359,7.6134,7.6134,898.7286,18744.2549,25853.7941
Q2/2017,12.9355,2.6638,0.6419,7.254,7.254,963.6971,18848.1156,27180.9909
Q3/2017,15.6355,3.1966,0.7976,8.682,8.682,1097.3321,17326.1414,26076.0618
Q4/2017,10.3239,2.6481,0.7129,8.0289,8.0289,2673.7278,21521.9637,32224.3389
Q1/2018,8.763,1.9246,0.6987,6.8294,6.8294,958.6648,19469.6251,24910.3085
Q2/2018,8.0739,2.1388,0.7498,6.5362,6.5362,968.4595,19169.7394,26873.6825
Q3/2018,8.1435,2.2325,0.9217,7.3809,7.3809,1181.3469,17503.8867,38661.7498
Q4/2018,11.6044,2.4435,1.3162,8.3712,8.3712,1281.6384,20309.5182,27916.725
Q1/2019,11.8323,2.477,1.3437,8.745,8.745,1020.6433,19297.3685,31878.9867
Q2/2019,13.338,2.9448,1.5386,9.4571,9.4571,1167.088,19627.7793,39136.5432
Q3/2019,12.0831,2.822,1.4435,8.8868,8.8868,1415.3397,17323.3022,52051.2993
Q4/2019,10.9694,2.4749,1.2469,7.7532,7.7532,1116.2735,20699.1242,27877.1564
Q1/2020,10.6803,2.3692,1.2176,7.6258,7.6258,1095.863,18803.6078,38058.5931
Q2/2020,12.3415,2.7669,1.4354,8.8245,8.8245,1120.8221,19083.016,39979.1606
Q3/2020,15.8258,3.4868,1.7935,10.6958,10.6958,1184.8248,16598.6907,82851.9446
Q4/2020,18.392,4.146,2.1956,12.3566,12.3566,1253.6472,20083.5031,60909.427
Q1/2021,22.7891,5.0833,2.7472,16.0989,16.0989,1155.8127,18334.379,77316.3821
Q2/2021,22.7653,5.2004,2.6904,15.666,15.666,1101.8999,18498.5623,89657.9642
Q3/2021,19.4993,4.6223,2.335,13.882,13.882,1239.4212,18715.2703,84394.6424
Q4/2021,23.2111,5.62,2.8277,16.5017,16.5017,1434.1025,19770.5117,97108.0264
Q1/2022,19.913,4.8665,2.4697,15.4675,15.4675,1365.0787,17487.0685,90833.8002
Q2/2022,15.7832,3.9878,1.9869,12.9895,12.9895,1140.1916,17829.4923,80082.9398
Q3/2022,17.4435,4.5987,2.1951,13.7535,13.7535,1325.1423,18135.6459,87762.1258
Q4/2022,16.3827,4.1334,1.9767,11.2715,11.2715,1232.0587,19172.152,87323.3151
Q1/2023,18.0094,4.4246,2.1742,12.4271,12.4271,1361.4644,20590.9495,82606.1009
Q2/2023,20.0176,4.8378,2.4043,14.0676,14.0676,1366.6362,21869.0255,101598.5092
Q3/2023,19.7302,5.1048,2.3589,13.4811,13.4811,1369.5929,18609.971,120647.0431
Q4/2023,21.6231,5.6089,2.6568,14.0437,14.0437,1360.9782,19677.774,140077.5669
Q1/2024,27.5568,6.9616,3.3927,17.9322,17.9322,1415.807,21127.7762,162429.0191
Q2/2024,27.4545,7.1831,3.3924,18.0327,18.0327,1283.9613,18818.6,195992.1305
Q3/2024,29.9733,7.6006,3.7462,19.2591,19.2591,1430.2817,20329.4094,224032.7333
Q4/2024,20.5559,5.4514,2.5697,13.3376,13.3376,1423.948,20251.5836,162406.0378
Q1/2025,23.0091,5.9544,2.9227,15.684,15.684,1478.0416,21801.3579,164906.8554
Q2/2025,18.6561,4.8598,2.4282,13.5332,13.5332,1523.9429,22480.1352,140726.3616
Q3/2025,18.6545,4.6886,2.4768,13.5084,13.5084,1429.311,21008.4955,167795.4514
Q4/2025,13.7713,3.544,1.8403,10.5951,10.5951,1469.1482,21416.7687,129296.1905
